sis,nizk
125.23626,67.65161
124.59226,49.44272
139.12418,58.56867
133.7012,54.749695
143.90114,59.617664
143.30615,53.984695
138.45218,55.92068
144.18913,55.806686
129.67223,52.037704
135.92117,52.0367
131.50821,54.007698
131.6952,64.581635
138.85718,67.12063
189.26787,58.687668
128.51024,58.98467
152.86108,54.468693
143.76015,51.52371
135.17418,50.778713
160.04504,51.356712
128.15125,56.919678
133.43219,51.09971
128.89423,54.852688
138.17717,59.381664
130.80821,66.98463
132.48322,93.495476
160.28105,91.26149
125.55225,109.814384
130.48822,76.70357
134.75018,94.750465
124.94525,92.03848
119.69629,74.17958
130.89922,75.02957
158.21706,75.751564
131.65921,64.815636
192.63385,70.2496
134.58119,65.094635
136.20619,61.97865
131.9342,68.99361
134.38219,70.2916
142.93015,65.248634
198.27081,65.82863
130.75623,69.39561
138.53018,63.018642
142.51215,65.78462
188.25688,58.22367
158.78806,72.36859
182.82092,63.891644
128.66924,61.40765
131.12321,67.98862
123.41326,58.93667
123.22327,62.114647
141.34416,74.81857
125.998245,69.68361
132.8742,66.42462
139.99017,86.36552
167.04599,83.52653
143.98015,59.815662
137.99918,64.19764
131.06322,73.38258
142.70515,67.10162
120.83928,64.86663
135.44818,58.112675
132.16722,63.72264
132.3742,66.03262
136.5212,63.997643
153.12108,73.312584
130.13821,66.81662
130.97922,65.14363
138.01817,55.111687
138.70618,56.71168
128.39124,57.11868
133.17221,63.170643
130.75822,62.951645
142.14516,60.172657
137.75616,56.84168
126.286255,56.90668
141.24715,57.204674
138.56416,57.201675
133.8242,56.79968
147.68312,61.46765
209.85175,57.03668
142.38416,52.0917
134.3392,55.242687
145.20813,54.063698
219.0577,52.016705
147.60512,52.9677
142.20416,52.243706
136.96419,55.704685
127.71525,51.797707
165.15602,54.76469
128.19524,54.813686
127.13224,57.07468
133.5092,54.563694
137.11418,50.277718
121.91827,54.308697
130.47322,65.35164
132.3462,71.5496
141.31715,63.93664
125.744255,60.924656
131.13521,60.35366
170.58899,61.547653
125.81524,56.200684
136.70718,59.846664
179.75093,66.14962
130.22522,77.974556
138.83917,65.69963
140.50616,59.376663
140.27118,54.62069
139.24516,50.445717
137.17818,49.93772
147.57112,52.535706
121.58828,54.117695
127.51624,52.412704
122.998276,52.026703
141.67314,52.648705
127.89925,52.120705
130.37622,51.574707
131.6952,61.475655
149.49512,60.30466
129.15022,65.07863
130.47522,61.776653
135.04019,55.449688
148.04813,50.700714
136.16219,52.001705
139.07217,52.572704
137.73718,54.410694
133.0422,52.9097
132.23122,57.444675
171.82098,54.42969
145.51613,55.214687
160.31606,63.455643
130.66722,62.878647
158.60306,64.046646
130.61322,62.516644
130.77322,60.19866
132.7912,64.33663
128.41225,54.96969
128.57123,50.78871
129.81223,51.611706
202.1988,53.2597
167.96,52.053707
136.90019,55.99668
135.83418,59.397663
