int_mut,nizk,nizk_mut
189.04771,67.65161,124.99331
176.8888,49.44272,123.75932
183.30774,58.56867,133.95827
182.60376,54.749695,129.86728
193.51268,59.617664,127.33031
180.56577,53.984695,124.15132
189.90869,55.92068,139.88124
191.10268,55.806686,135.09425
204.2796,52.037704,137.99625
191.71068,52.0367,147.7962
173.15681,54.007698,133.92226
180.18777,64.581635,136.02626
191.2447,67.12063,172.03006
200.29863,58.687668,146.88219
174.1918,58.98467,125.164314
175.92981,54.468693,133.50627
177.81079,51.52371,126.219315
173.42183,50.778713,130.80728
195.93066,51.356712,153.38016
201.56064,56.919678,129.84529
182.31276,51.09971,127.27231
179.99777,54.852688,128.4283
177.0358,59.381664,129.2263
190.5457,66.98463,126.45931
182.28976,93.495476,143.4362
230.79243,91.26149,131.56927
202.66663,109.814384,141.64723
187.9837,76.70357,143.16623
180.92677,94.750465,121.140335
174.8928,92.03848,122.50333
177.41579,74.17958,128.0673
186.29674,75.02957,129.92929
198.69466,75.751564,126.9103
182.65576,64.815636,126.11331
175.3298,70.2496,147.7562
176.23381,65.094635,176.70103
170.54384,61.97865,141.41423
194.75667,68.99361,135.63226
176.07782,70.2916,141.34123
178.83278,65.248634,139.99825
183.95973,65.82863,132.72327
232.96742,69.39561,138.70224
205.8316,63.018642,139.11424
187.83672,65.78462,144.25421
183.03577,58.22367,159.18713
181.62877,72.36859,134.27228
194.13869,63.891644,134.27228
198.73965,61.40765,129.28429
174.95181,67.98862,122.520325
183.19675,58.93667,126.16231
179.94977,62.114647,140.30122
193.49869,74.81857,139.36723
198.69765,69.68361,137.41724
184.18974,66.42462,142.64021
183.41675,86.36552,139.92624
180.00777,83.52653,134.28326
193.77469,59.815662,163.66211
194.62668,64.19764,162.08412
178.21979,73.38258,116.44436
180.32378,67.10162,135.51227
186.20674,64.86663,124.55532
197.57367,58.112675,121.294334
194.0317,63.72264,143.5552
187.4927,66.03262,133.82526
175.08882,63.997643,136.07025
180.20879,73.312584,143.86122
181.02979,66.81662,130.9923
204.52061,65.14363,139.18623
178.01979,55.111687,143.33722
176.54181,56.71168,135.10327
181.84477,57.11868,136.38025
179.37178,63.170643,142.55821
195.41968,62.951645,116.73636
215.72153,60.172657,123.01633
197.79666,56.84168,131.25429
184.05775,56.90668,132.64127
197.04366,57.204674,131.06728
188.70071,57.201675,125.29331
179.37679,56.79968,144.2742
183.96675,61.46765,179.31203
184.61375,57.03668,142.18622
201.35564,52.0917,133.00227
195.61969,55.242687,137.39925
185.59674,54.063698,139.02724
176.2998,52.016705,137.94325
176.70181,52.9677,131.05827
180.57777,52.243706,145.9012
193.5947,55.704685,133.77327
185.43774,51.797707,140.69022
197.81465,54.76469,150.13118
178.76779,54.813686,129.5173
189.05872,57.07468,124.98532
185.32175,54.563694,123.72533
182.10576,50.277718,125.82432
190.20673,54.308697,120.59735
186.75374,65.35164,128.67929
202.09163,71.5496,147.0622
187.83572,63.93664,133.25627
176.1678,60.924656,138.03824
180.25377,60.35366,145.1332
183.81976,61.547653,177.95703
195.15169,56.200684,176.76903
183.63576,59.846664,119.03236
181.46979,66.14962,125.26731
179.62979,77.974556,124.84532
197.98465,65.69963,122.70633
198.47566,59.376663,122.21633
187.35573,54.62069,136.30226
186.24873,50.445717,134.17926
180.13878,49.93772,132.30228
180.54678,52.535706,134.52126
197.73267,54.117695,139.23824
203.23563,52.412704,132.98727
177.4138,52.026703,143.26122
189.03972,52.648705,138.06625
182.42377,52.120705,134.12227
180.76079,51.574707,140.27522
196.86967,61.475655,147.0942
189.97072,60.30466,131.71228
183.85675,65.07863,143.49721
177.94978,61.776653,137.79526
236.4884,55.449688,135.30527
201.80264,50.700714,161.41412
181.77977,52.001705,166.02309
184.36275,52.572704,141.65723
179.0398,54.410694,135.61026
184.25377,52.9097,131.80228
203.91364,57.444675,143.54321
175.33383,54.42969,134.85326
183.22977,55.214687,139.94624
175.1428,63.455643,143.62122
198.68065,62.878647,131.99728
216.22154,64.046646,134.69327
198.18166,62.516644,142.05423
196.38768,60.19866,135.74226
185.34276,64.33663,131.62927
225.1695,54.96969,143.40721
192.0977,50.78871,146.0512
179.0248,51.611706,131.85529
184.57675,53.2597,145.52621
179.69678,52.053707,132.29129
188.52972,55.99668,140.18423
199.30266,59.397663,151.72617
201.19264,59.892666,126.12331
181.03978,55.25769,177.08902
180.30879,55.15869,116.66236
178.5158,55.214687,122.42633
192.86769,55.62269,122.94733
199.92065,52.9187,140.27122
197.23767,55.331688,129.77429
181.23178,57.245674,140.21524
179.9818,62.695644,140.18825
227.14845,64.102646,120.86134
204.96463,56.74468,121.363335
184.70175,57.140675,120.885345
182.53477,62.70565,122.78133
200.26265,60.35366,121.88133
203.18663,77.70456,124.46133
184.19977,73.79358,141.60522
180.59479,68.61961,140.99524
183.13878,55.12269,133.94026
194.0717,50.395718,132.66328
204.74562,50.682713,142.07822
189.64372,53.3287,135.81927
173.55783,55.46669,135.52824
187.39775,66.00263,142.22223
181.02377,52.186707,177.08003
201.10464,57.04568,157.16414
224.1645,54.936687,122.46833
193.9547,53.049698,120.731346
172.63884,52.324703,125.61232
198.50667,57.411674,122.93733
185.60875,58.436672,121.335335
180.65878,57.466675,123.254326
180.44879,58.31267,136.71724
193.1897,54.254696,132.95027
200.22665,52.873703,133.77927
188.85674,51.68271,142.50322
190.84372,54.69369,129.57129
185.95876,54.92169,137.46425
189.75072,53.798695,150.11618
192.04572,52.0847,121.916336
182.10477,50.98671,121.53934
188.98573,53.963696,122.562325
191.1537,52.070705,121.55933
201.09564,52.522705,120.54334
188.29474,52.558704,121.154335
180.88579,52.632706,144.73322
189.15874,56.83268,142.29121
188.37772,59.959663,177.29004
202.71564,57.10168,179.65503
203.66664,59.545662,122.86433
203.71964,52.8557,121.294334
205.83463,57.450676,116.87135
191.35771,52.380703,120.66934
183.44579,53.3747,124.48132
173.33383,52.601704,127.5543
187.06276,53.313698,137.19626
181.74078,55.040688,131.19728
253.87129,57.477676,135.20625
194.5837,53.0097,144.13321
179.9148,63.197643,130.8183
181.59479,52.291702,135.71626
196.97667,52.656704,144.7962
191.6757,53.584694,131.12428
187.69174,56.919678,133.44627
182.36777,59.820663,144.0262
201.52866,61.824654,131.58327
188.34775,60.058662,133.38127
